id,age,gender,rounds,mean_game_score,mean_total_score,mean_NoTasks,mean_challenge_level,mean_OLM_use,task1,task2,task3,task4,mean_speed,mean_diff,mean_sfun,mean_sdiff,mean_sperf,mean_srules,cluster
HunterJelle-17061142-5earm3,17,1,0.55,0.759090909,0.351818182,0.272727273,0.229318182,0.0,0.454545455,0.090909091,0.181818182,0.363636364,0.696969697,0.757575758,0.727272727,0.763636364,0.672727273,0.818181818,1
BrainVu-17061142-eo8kc8,16,1,0.75,0.706666667,0.376,0.316666667,0.310666667,1.014032,0.4,0.133333333,0.2,0.533333333,0.955555556,0.955555556,0.755555556,0.773333333,0.72,0.888888889,0
flowerjasmin-17061142-r740q6,17,2,0.6,0.820833333,0.355,0.25,0.211666667,0.0,0.25,0.166666667,0.166666667,0.416666667,0.694444444,0.75,0.694444444,0.65,0.583333333,0.833333333,1
designmare-17061142-pum4n4,17,2,0.6,0.704166667,0.465833333,0.395833333,0.3425,0.284808333,0.75,0.333333333,0.083333333,0.416666667,0.805555556,0.722222222,0.722222222,0.7,0.6,0.916666667,0
Flower Fenne-17061142-tqz197,16,2,0.7,0.789285714,0.342857143,0.25,0.215,0.0,0.285714286,0.142857143,0.142857143,0.428571429,0.761904762,0.738095238,0.642857143,0.685714286,0.557142857,0.738095238,1
flowertara-17061142-k8ch67,16,2,0.6,0.816666667,0.350833333,0.25,0.209791667,0.0,0.25,0.333333333,0.166666667,0.25,0.75,0.666666667,0.777777778,0.75,0.6,0.833333333,1
Cyanne-17061142-mlqm79,17,2,0.55,0.813636364,0.409090909,0.295454545,0.248409091,0.0,0.272727273,0.181818182,0.272727273,0.454545455,0.727272727,0.727272727,0.696969697,0.672727273,0.545454545,0.787878788,1
Feela-17061143-oqjcz1,17,2,0.45,0.827777778,0.384444444,0.277777778,0.23,0.0,0.111111111,0.444444444,0.222222222,0.333333333,0.62962963,0.666666667,0.703703704,0.555555556,0.511111111,0.777777778,1
ArrowTuana-17061143-3h7lf2,17,2,0.45,0.511111111,0.212222222,0.305555556,0.266666667,0.143846667,0.444444444,0.111111111,0.555555556,0.111111111,0.740740741,0.703703704,0.814814815,0.688888889,0.666666667,0.851851852,1
Castlechristopher-17061143-8q9174,17,1,0.45,0.85,0.396666667,0.25,0.233888889,0.250471111,0.555555556,0.444444444,0.0,0.0,0.925925926,0.851851852,0.814814815,0.822222222,0.777777778,0.925925926,0
Apple Andres-17061144-50aa12,17,1,0.5,0.72,0.34,0.275,0.24225,0.0,0.5,0.3,0.1,0.2,0.8,0.8,0.633333333,0.62,0.54,0.833333333,1
chaymab-17061413-8weyg6,16,2,0.7,0.742857143,0.32,0.25,0.213035714,0.205818143,0.285714286,0.214285714,0.071428571,0.428571429,0.738095238,0.738095238,0.928571429,0.785714286,0.8,0.976190476,0
Flower Thijs-17061413-pmu892,16,1,0.75,0.863333333,0.386,0.25,0.2215,0.181116,0.133333333,0.4,0.2,0.266666667,0.8,0.8,0.866666667,0.733333333,0.706666667,0.822222222,0
castlesterre-17061413-a5qxe8,16,2,0.5,0.66,0.447,0.4,0.33125,0.0,0.7,0.5,0.2,0.2,0.633333333,0.633333333,0.833333333,0.74,0.74,0.9,1
birdVeerle-17061413-erxx25,16,2,0.55,0.7,0.44,0.340909091,0.299318182,0.481067273,0.363636364,0.727272727,0.090909091,0.181818182,0.818181818,0.818181818,0.878787879,0.8,0.763636364,0.909090909,0
flowerevie-17061413-dn4ta3,15,2,0.45,0.633333333,0.377777778,0.388888889,0.318333333,0.19466667,0.555555556,0.444444444,0.333333333,0.222222222,0.592592593,0.592592593,0.925925926,0.666666667,0.666666667,0.851851852,1
birdanka-17061413-2vzi78,16,2,0.4,0.84375,0.2925,0.25,0.1728125,0.5245875,0.5,0.125,0.25,0.125,0.375,0.5,0.916666667,0.85,0.65,0.916666667,0
